证券代码,公司中文名称
0410.HK,SOHO中国有限公司
000534.SZ,万泽实业股份有限公司
000002.SZ,万科企业股份有限公司
6611.HK,三巽控股集团有限公司
000863.SZ,三湘印象股份有限公司
6900.HK,上坤地产集团有限公司
600641.SH,上海万业企业股份有限公司
151276.SH,上海三盛宏业投资(集团)有限责任公司
163347.SH,上海世茂建设有限公司
600823.SH,上海世茂股份有限公司
136292.SH,上海中星(集团)有限公司
151388.SH,上海中环投资开发(集团)有限公司
600848.SH,上海临港控股股份有限公司
600692.SH,上海亚通股份有限公司
600621.SH,上海华鑫股份有限公司
600647.SH,上海同达创业投资股份有限公司
193398.SH,上海地产住房保障有限公司
115936.SH,上海城开(集团)有限公司
600649.SH,上海城投控股股份有限公司
102382229.IB,上海外滩投资开发(集团)有限公司
600094.SH,上海大名城企业股份有限公司
600748.SH,上海实业发展股份有限公司
0563.HK,上海实业城市开发集团有限公司
115418.SH,上海市浦东新区房地产(集团)有限公司
135900.SZ,上海建工房产有限公司
1382051.IB,上海张江(集团)有限公司
600895.SH,上海张江高科技园区开发股份有限公司
600638.SH,上海新黄浦实业集团股份有限公司
102281718.IB,上海杨浦科技创新(集团)有限公司
102282584.IB,上海浦东开发(集团)有限公司
101462027.IB,上海浦东现代产业开发有限公司
600732.SH,上海爱旭新能源股份有限公司
260501.SH,上海瑞明置业有限公司
600696.SH,上海贵酒股份有限公司
125033.SH,上海金丰建设发展有限公司
600639.SH,上海金桥出口加工区开发股份有限公司
199316.SH,上海陆家嘴(集团)有限公司
600663.SH,上海陆家嘴金融贸易区开发股份有限公司
260144.SH,上海静安地产(集团)有限公司
168118.SH,上海黄房实业有限公司
1207.HK,上置集团有限公司
136084.SH,世纪金源投资集团有限公司
0813.HK,世茂集团控股有限公司
000040.SZ,东旭蓝天新能源股份有限公司
000573.SZ,东莞宏远工业区股份有限公司
000736.SZ,中交地产股份有限公司
185562.SH,中交房地产集团有限公司
600158.SH,中体产业集团股份有限公司
138834.SH,中冶置业集团有限公司
600675.SH,中华企业股份有限公司
0910.HK,中国三迪控股有限公司
2330.HK,中国上城集团有限公司
155657.SH,中国保利集团有限公司
2349.HK,中国城市基础设施集团有限公司
3883.HK,中国奥园集团股份有限公司
3333.HK,中国恒大集团
1321.HK,中国新城市商业发展有限公司
1278.HK,中国新城镇发展有限公司
000797.SZ,中国武夷实业股份有限公司
0688.HK,中国海外发展有限公司
0081.HK,中国海外宏洋集团有限公司
143029.SZ,中国电建地产集团有限公司
115360.SH,中国绿发投资集团有限公司
0817.HK,中国金茂控股集团有限公司
132380051.IB,中国铁建房地产集团有限公司
000540.SZ,中天金融集团股份有限公司
143708.SH,中庚置业集团有限公司
114012.SZ,中弘控股股份有限公司
601512.SH,中新苏州工业园区开发集团股份有限公司
0859.HK,中昌国际控股集团有限公司
2772.HK,中梁控股集团有限公司
0715.HK,中泛控股有限公司
149588.SZ,中海企业发展集团有限公司
125678.SH,中海地产集团有限责任公司
115137.SH,中海宏洋地产集团有限公司
000506.SZ,中润资源投资股份有限公司
1224.HK,中渝置地控股有限公司
0798.HK,中电光谷联合控股有限公司
199649.SH,中能建城市投资发展有限公司
600862.SH,中航航空高科技股份有限公司
183481.SH,中铁置业集团有限公司
1966.HK,中骏集团控股有限公司
118689.SZ,云南国资昆明经开区产业开发有限公司
600239.SH,云南城投置业股份有限公司
101556066.IB,云南省城乡建设投资有限公司
114008.SZ,云南省房地产开发经营(集团)有限公司
0230.HK,五矿地产有限公司
251018.SH,五矿盛世广业(北京)有限公司
600683.SH,京投发展股份有限公司
1195.HK,京维集团有限公司
600791.SH,京能置业股份有限公司
122475.SH,亿达发展有限公司
118625.SZ,仁怀市城投置业投资发展有限公司
189995.SH,仁恒发展(天津)有限公司
135286.SZ,仁恒和美房地产开发(唐山)有限公司
0672.HK,众安集团有限公司
1570.HK,伟业控股有限公司
133028.SZ,佳兆业集团(深圳)有限公司
1638.HK,佳兆业集团控股有限公司
194885.SH,佳源创盛控股集团有限公司
2768.HK,佳源国际控股有限公司
135424.SH,侨鑫集团有限公司
151288.SH,俊发集团有限公司
101654070.IB,保利南方集团有限公司
600048.SH,保利发展控股集团股份有限公司
0119.HK,保利置业集团有限公司
183540.SH,保利置业集团有限公司(上海)
600657.SH,信达地产股份有限公司
102300456.IB,信达投资有限公司
600622.SH,光大嘉宝股份有限公司
